,Long,Lat,Stn_Name,Clim_ID,Prov_or_Ter,Tm,DwTm,Tx,DwTx,Tn,DwTn,P,DwP,Pd,HDD,CDD,year,month,province_full_name,region
28546,-112.983,50.606,QUEENSTOWN,3035340,AB,-8.8,0.0,9.5,0.0,-36.0,0.0,6.0,0.0,2.0,829.5,0.0,2020,1,Alberta,Western
28550,-112.683,49.483,RAYMOND AGDM,3035422,AB,-6.7,0.0,13.6,0.0,-35.0,0.0,10.6,7.0,4.0,764.8,0.0,2020,1,Alberta,Western
28553,-110.917,49.917,SEVEN PERSONS AGDM,3035845,AB,-8.5,0.0,7.4,0.0,-31.5,0.0,13.5,0.0,4.0,820.7,0.0,2020,1,Alberta,Western
28558,-112.124,49.792,TABER,3036360,AB,-7.7,16.0,10.0,12.0,-32.0,11.0,10.4,12.0,3.0,384.9,0.0,2020,1,Alberta,Western
28563,-113.961,50.729,OKOTOKS,303M9JM,AB,-9.2,0.0,9.5,0.0,-36.0,0.0,5.8,0.0,3.0,843.3,0.0,2020,1,Alberta,Western
28573,-115.552,51.193,BANFF CS,3050519,AB,-9.3,0.0,5.4,0.0,-37.9,0.0,13.6,0.0,5.0,845.0,0.0,2020,1,Alberta,Western
28574,-114.175,49.468,BEAVER MINES,3050602,AB,-6.1,0.0,9.2,0.0,-32.0,0.0,13.0,0.0,6.0,745.9,0.0,2020,1,Alberta,Western
28577,-118.03,52.926,JASPER WARDEN,3053536,AB,-11.0,0.0,6.5,0.0,-44.8,0.0,37.7,0.0,9.0,898.7,0.0,2020,1,Alberta,Western
28584,-113.382,54.635,ATHABASCA AGCM,3060330,AB,-14.8,0.0,3.4,0.0,-41.5,0.0,8.5,22.0,3.0,1017.1,0.0,2020,1,Alberta,Western
28592,-116.453,53.58,EDSON CLIMATE,3062246,AB,-14.3,0.0,6.1,0.0,-41.3,0.0,18.7,0.0,5.0,1000.8,0.0,2020,1,Alberta,Western
28594,-115.062,53.614,EVANSBURG2 AGCM,3062476,AB,-15.9,0.0,6.2,0.0,-44.3,0.0,20.4,0.0,4.0,1051.9,0.0,2020,1,Alberta,Western
28596,-111.213,56.651,FORT MCMURRAY CS,3062696,AB,-16.6,0.0,4.1,0.0,-40.6,0.0,16.4,0.0,8.0,1072.5,0.0,2020,1,Alberta,Western
28605,-111.7,54.5,RICH LAKE AGDM,3065475,AB,-16.8,0.0,3.4,0.0,-42.0,0.0,12.2,0.0,5.0,1080.1,0.0,2020,1,Alberta,Western
28607,-114.777,55.293,SLAVE LAKE,3065995,AB,-15.6,0.0,7.3,0.0,-39.9,0.0,10.1,0.0,4.0,1043.0,0.0,2020,1,Alberta,Western
28612,-119.396,55.197,BEAVERLODGE RCS,3070600,AB,-14.6,0.0,4.3,0.0,-37.3,0.0,28.5,0.0,10.0,1011.1,0.0,2020,1,Alberta,Western
28618,-118.439,56.081,FAIRVIEW AGDM,3072525,AB,-16.9,0.0,3.1,0.0,-41.3,0.0,14.1,15.0,5.0,1080.7,0.0,2020,1,Alberta,Western
28619,-111.117,58.767,FORT CHIPEWYAN,3072655,AB,-19.5,0.0,2.8,0.0,-39.5,0.0,17.7,0.0,5.0,1161.7,0.0,2020,1,Alberta,Western
28621,-116.04,58.382,FORT VERMILION,3072723,AB,-20.1,0.0,3.7,0.0,-44.5,0.0,22.9,0.0,6.0,1180.0,0.0,2020,1,Alberta,Western
28622,-118.885,55.18,GRANDE PRAIRIE A,3072921,AB,-16.7,0.0,5.5,0.0,-41.8,0.0,30.6,0.0,10.0,1077.2,0.0,2020,1,Alberta,Western
28623,-117.298,57.265,HAWK HILLS AGCM,3073071,AB,-18.6,0.0,4.4,0.0,-43.0,0.0,14.9,0.0,6.0,1135.2,0.0,2020,1,Alberta,Western
28624,-117.165,58.622,HIGH LEVEL A,3073140,AB,-20.2,0.0,2.6,0.0,-44.4,0.0,3.1,9.0,1.0,1183.5,0.0,2020,1,Alberta,Western
28632,-117.448,56.227,PEACE RIVER A,3075041,AB,-17.3,0.0,4.3,0.0,-43.1,0.0,13.2,0.0,5.0,1094.5,0.0,2020,1,Alberta,Western
28637,-119.345,56.076,SAVANNA AGCM,3075770,AB,-15.6,0.0,5.6,0.0,-38.7,0.0,22.3,6.0,6.0,1042.0,0.0,2020,1,Alberta,Western
28642,-110.283,54.417,COLD LAKE A,3081680,AB,-14.9,0.0,4.1,0.0,-37.5,0.0,19.8,0.0,9.0,1020.1,0.0,2020,1,Alberta,Western
28644,-104.71,50.201,BRATT'S LAKE CLIMATE,4010811,SK,-12.7,1.0,4.9,1.0,-34.0,1.0,5.2,1.0,1.0,921.2,0.0,2020,1,Saskatchewan,Western
28649,-102.967,49.217,ESTEVAN,4012410,SK,-12.0,0.0,3.8,0.0,-33.0,0.0,5.1,0.0,1.0,930.5,0.0,2020,1,Saskatchewan,Western
28651,-103.753,51.257,KELLIHER,4013660,SK,-13.8,0.0,1.5,0.0,-37.5,0.0,18.0,0.0,8.0,984.3,0.0,2020,1,Saskatchewan,Western
28652,-102.733,50.2,KIPLING,4014040,SK,-12.6,0.0,1.5,0.0,-35.0,0.0,13.4,0.0,5.0,947.9,0.0,2020,1,Saskatchewan,Western
28654,-105.25,51.417,LAST MOUNTAIN CS,4014156,SK,-13.6,0.0,4.1,0.0,-37.8,0.0,7.1,0.0,3.0,978.5,0.0,2020,1,Saskatchewan,Western
28655,-104.633,52.0,LEROY,4014322,SK,-14.5,0.0,1.0,0.0,-41.5,0.0,27.4,0.0,5.0,1008.7,0.0,2020,1,Saskatchewan,Western
28657,-105.538,50.332,MOOSE JAW CS,4015322,SK,-11.0,0.0,7.7,0.0,-35.3,0.0,5.9,0.0,2.0,898.7,0.0,2020,1,Saskatchewan,Western
28659,-102.117,49.317,OXBOW,4015800,SK,-12.8,6.0,1.5,6.0,-36.0,6.0,10.0,6.0,7.0,771.0,0.0,2020,1,Saskatchewan,Western
28660,-103.983,50.567,QU'APPELLE 1,4016322,SK,-11.9,0.0,3.5,0.0,-35.5,0.0,18.0,0.0,5.0,927.8,0.0,2020,1,Saskatchewan,Western
28664,-104.183,49.817,YELLOW GRASS NORTH,4019041,SK,-12.1,0.0,5.2,0.0,-34.7,0.0,5.0,0.0,2.0,933.6,0.0,2020,1,Saskatchewan,Western
28665,-102.464,51.265,YORKTON,4019073,SK,-14.1,0.0,2.2,0.0,-38.4,0.0,11.7,0.0,4.0,996.1,0.0,2020,1,Saskatchewan,Western
28669,-105.946,49.729,ASSINIBOIA AIRPORT,4020286,SK,-11.0,0.0,5.3,0.0,-32.5,0.0,4.8,0.0,1.0,897.5,0.0,2020,1,Saskatchewan,Western
28670,-107.311,50.832,BEECHY,4020560,SK,-11.6,1.0,7.0,1.0,-36.5,1.0,10.6,1.0,5.0,886.5,0.0,2020,1,Saskatchewan,Western
28671,-106.583,51.133,ELBOW CS,4022359,SK,-13.0,0.0,5.2,0.0,-37.3,0.0,13.6,0.0,6.0,961.9,0.0,2020,1,Saskatchewan,Western
28674,-109.466,49.903,MAPLE CREEK,4024919,SK,-7.4,0.0,12.2,0.0,-34.7,0.0,9.1,0.0,4.0,788.7,0.0,2020,1,Saskatchewan,Western
28678,-107.733,50.267,SWIFT CURRENT CDA,4028060,SK,-10.5,0.0,5.5,0.0,-32.4,0.0,7.7,0.0,4.0,883.7,0.0,2020,1,Saskatchewan,Western
28679,-109.501,50.909,LEADER AIRPORT,402DAF0,SK,-11.7,0.0,5.3,0.0,-36.7,0.0,9.5,0.0,4.0,919.2,0.0,2020,1,Saskatchewan,Western
28680,-105.483,49.05,CORONACH SPC,40318MN,SK,-11.4,0.0,5.0,0.0,-34.2,0.0,8.0,0.0,3.0,910.4,0.0,2020,1,Saskatchewan,Western
28685,-107.586,49.058,VAL MARIE SOUTHEAST,4038412,SK,-12.1,0.0,5.9,0.0,-34.4,0.0,5.3,0.0,1.0,933.7,0.0,2020,1,Saskatchewan,Western
28687,-109.2,53.45,BUTTE ST PIERRE,4041000,SK,-16.1,0.0,3.0,0.0,-43.0,0.0,16.2,0.0,6.0,1058.1,0.0,2020,1,Saskatchewan,Western
28689,-109.181,51.515,KINDERSLEY A,4043901,SK,-14.3,1.0,1.7,1.0,-40.0,1.0,10.8,0.0,4.0,967.7,0.0,2020,1,Saskatchewan,Western
28690,-108.256,52.772,NORTH BATTLEFORD RCS,4045607,SK,-15.0,0.0,3.2,0.0,-39.7,0.0,12.1,0.0,4.0,1022.7,0.0,2020,1,Saskatchewan,Western
28692,-107.917,51.567,ROSETOWN EAST,4046884,SK,-14.4,0.0,4.4,0.0,-38.7,0.0,12.4,0.0,6.0,1003.0,0.0,2020,1,Saskatchewan,Western
28693,-108.835,52.36,SCOTT CDA,4047240,SK,-15.1,0.0,2.0,0.0,-38.3,0.0,10.9,0.0,4.0,1024.8,0.0,2020,1,Saskatchewan,Western
28696,-104.6,52.817,MELFORT,4055079,SK,-14.3,0.0,1.5,0.0,-40.0,0.0,14.8,0.0,7.0,1002.8,0.0,2020,1,Saskatchewan,Western
28698,-105.15,52.417,PILGER,4056121,SK,-14.6,0.0,0.5,0.0,-39.6,0.0,6.9,0.0,3.0,1010.4,0.0,2020,1,Saskatchewan,Western
28700,-105.677,53.21,PRINCE ALBERT GLASS FIELD,4056243,SK,-15.4,0.0,4.5,0.0,-42.0,0.0,15.0,0.0,6.0,1035.9,0.0,2020,1,Saskatchewan,Western
28702,-106.719,52.174,SASKATOON RCS,4057165,SK,-14.4,0.0,2.5,0.0,-39.3,0.0,8.3,0.0,3.0,1003.7,0.0,2020,1,Saskatchewan,Western
28703,-108.421,55.841,BUFFALO NARROWS (AUT),4060983,SK,-15.3,0.0,3.6,0.0,-37.1,0.0,21.6,0.0,8.0,1032.8,0.0,2020,1,Saskatchewan,Western
28705,-104.483,58.083,CIGAR LAKE,4061570,SK,-21.9,0.0,-1.0,0.0,-44.0,0.0,18.0,0.0,6.0,1236.0,0.0,2020,1,Saskatchewan,Western
28707,-103.7,58.183,COLLINS BAY CAMECO,4061632,SK,-20.2,0.0,-1.0,0.0,-41.0,0.0,34.2,0.0,9.0,1183.3,0.0,2020,1,Saskatchewan,Western
28708,-102.35,55.533,ISLAND FALLS (AUT),4063605,SK,-16.8,0.0,2.0,0.0,-36.9,0.0,28.2,0.0,8.0,1078.9,0.0,2020,1,Saskatchewan,Western
28710,-105.6,57.25,KEY LAKE,4063753,SK,-19.3,0.0,0.6,0.0,-44.6,0.0,14.6,0.0,6.0,1157.6,0.0,2020,1,Saskatchewan,Western
28713,-105.267,55.151,LA RONGE A,4064155,SK,-16.0,1.0,3.5,1.0,-36.4,1.0,4.0,16.0,2.0,1019.4,0.0,2020,1,Saskatchewan,Western
28714,-109.138,54.02,LOON LAKE RCS,4064620,SK,-14.9,0.0,4.9,0.0,-40.6,0.0,24.3,0.0,9.0,1019.0,0.0,2020,1,Saskatchewan,Western
28716,-103.283,56.333,SOUTHEND,4067655,SK,-17.4,0.0,1.5,0.0,-39.3,0.0,37.8,0.0,7.0,1098.8,0.0,2020,1,Saskatchewan,Western
28717,-107.55,53.367,SPIRITWOOD WEST,4067723,SK,-15.3,0.0,2.7,0.0,-41.4,0.0,21.7,0.0,8.0,1031.3,0.0,2020,1,Saskatchewan,Western
28719,-106.067,53.917,WASKESIU LAKE,4068559,SK,-14.4,0.0,2.9,0.0,-36.4,0.0,28.3,0.0,8.0,1003.5,0.0,2020,1,Saskatchewan,Western
28720,-108.517,54.133,MEADOW LAKE,406N0NM,SK,-15.8,0.0,3.2,0.0,-40.7,0.0,20.3,0.0,8.0,1047.4,0.0,2020,1,Saskatchewan,Western
28722,-104.008,53.333,NIPAWIN,4075525,SK,-15.1,0.0,3.3,0.0,-39.5,0.0,12.4,0.0,4.0,1027.5,0.0,2020,1,Saskatchewan,Western
28724,-102.317,52.817,HUDSON BAY(AUT),4083324,SK,-14.3,0.0,3.3,0.0,-35.0,0.0,21.1,0.0,7.0,1001.3,0.0,2020,1,Saskatchewan,Western
28725,-99.292,49.276,BALDUR,5010140,MB,-12.3,0.0,3.5,0.0,-32.5,0.0,10.0,0.0,3.0,938.2,0.0,2020,1,Manitoba,Western
28726,-99.952,49.91,BRANDON A,5010481,MB,-14.2,0.0,-0.1,0.0,-34.1,0.0,21.0,0.0,10.0,997.8,0.0,2020,1,Manitoba,Western
28728,-99.357,49.906,CARBERRY CS,5010547,MB,-13.1,1.0,0.9,1.0,-34.3,1.0,9.2,1.0,5.0,932.5,0.0,2020,1,Manitoba,Western
28730,-101.203,49.927,ELKHORN 2 EAST,5010QFQ,MB,-14.1,3.0,4.0,3.0,-34.0,3.0,21.4,3.0,10.0,897.7,0.0,2020,1,Manitoba,Western
28734,-101.363,51.183,ROBLIN,5012469,MB,-15.3,0.0,0.9,0.0,-40.4,0.0,9.4,0.0,5.0,1031.4,0.0,2020,1,Manitoba,Western
28738,-100.986,49.281,MELITA,501A7AR,MB,-12.6,0.0,3.6,0.0,-33.1,0.0,4.1,0.0,1.0,948.0,0.0,2020,1,Manitoba,Western
28742,-97.238,49.0,EMERSON AUTO,5020881,MB,-11.8,0.0,0.3,0.0,-32.8,0.0,8.7,0.0,4.0,925.1,0.0,2020,1,Manitoba,Western
28745,-96.901,49.518,KLEEFELD (MAFRI),5021500,MB,-12.2,4.0,-0.7,4.0,-35.3,4.0,14.5,4.0,4.0,816.7,0.0,2020,1,Manitoba,Western
28746,-97.807,50.013,MARQUETTE,5021695,MB,-12.4,1.0,0.0,1.0,-33.0,1.0,45.6,1.0,7.0,912.1,0.0,2020,1,Manitoba,Western
28747,-98.084,49.188,MORDEN CDA CS,5021849,MB,-11.7,0.0,3.6,0.0,-29.7,0.0,19.3,0.0,4.0,920.0,0.0,2020,1,Manitoba,Western
28752,-95.598,49.024,SPRAGUE,5022759,MB,-12.5,0.0,-1.9,0.0,-36.7,0.0,13.1,0.0,3.0,944.6,0.0,2020,1,Manitoba,Western
28753,-97.167,50.117,STONY MOUNTAIN,5022791,MB,-12.1,1.0,0.0,1.0,-34.0,1.0,30.6,1.0,6.0,903.4,0.0,2020,1,Manitoba,Western
28762,-97.555,51.083,FISHER BRANCH (AUT),50309J6,MB,-14.2,0.0,1.1,0.0,-36.3,0.0,17.7,0.0,7.0,996.8,0.0,2020,1,Manitoba,Western
28764,-97.05,50.633,GIMLI CLIMATE,5031042,MB,-14.0,0.0,-1.0,0.0,-38.1,0.0,19.2,0.0,5.0,990.9,0.0,2020,1,Manitoba,Western
28765,-95.977,50.522,GREAT FALLS CLIMATE,5031201,MB,-12.5,0.0,-1.0,0.0,-33.1,0.0,20.9,0.0,7.0,944.3,0.0,2020,1,Manitoba,Western
28767,-95.197,49.624,INDIAN BAY,5031320,MB,-11.8,2.0,3.5,2.0,-34.0,2.0,10.0,2.0,3.0,865.5,0.0,2020,1,Manitoba,Western
28768,-99.268,53.186,GRAND RAPIDS (AUT),5031A10,MB,-14.9,1.0,2.5,0.0,-35.9,1.0,36.1,0.0,8.0,986.7,0.0,2020,1,Manitoba,Western
28774,-100.057,51.1,DAUPHIN CS,5040681,MB,-13.7,0.0,3.5,0.0,-31.0,0.0,11.4,0.0,2.0,981.7,0.0,2020,1,Manitoba,Western
28777,-101.098,52.666,MAFEKING,5041685,MB,-13.4,0.0,5.0,0.0,-38.0,0.0,32.0,0.0,6.0,973.4,0.0,2020,1,Manitoba,Western
28778,-99.53,50.712,MCCREARY,5043158,MB,-12.9,0.0,3.4,0.0,-34.0,0.0,11.6,0.0,5.0,957.8,0.0,2020,1,Manitoba,Western
28780,-101.233,52.115,SWAN RIVER RCS,504K80K,MB,-14.5,0.0,3.1,0.0,-34.1,0.0,12.6,0.0,4.0,1007.5,0.0,2020,1,Manitoba,Western
28785,-101.1,53.967,THE PAS CLIMATE,5052890,MB,-14.6,2.0,3.1,2.0,-33.7,2.0,17.3,2.0,7.0,944.6,0.0,2020,1,Manitoba,Western
28787,-94.067,58.733,CHURCHILL CLIMATE,5060608,MB,-20.4,0.0,-2.9,0.0,-38.9,0.0,9.1,0.0,4.0,1191.7,0.0,2020,1,Manitoba,Western
28796,-97.844,53.958,NORWAY HOUSE,5062040,MB,-16.7,0.0,0.9,0.0,-35.4,0.0,0.3,2.0,0.0,1074.8,0.0,2020,1,Manitoba,Western
28799,-97.863,55.805,THOMPSON A,5062921,MB,-19.4,1.0,-1.6,1.0,-38.5,1.0,20.1,0.0,6.0,1121.8,0.0,2020,1,Manitoba,Western
28803,-93.221,50.631,EAR FALLS (AUT),6012199,ON,-12.3,0.0,-3.5,0.0,-30.2,0.0,12.9,0.0,5.0,940.8,0.0,2020,1,Ontario,Central
28804,-87.676,56.019,FORT SEVERN A,6012501,ON,-19.3,0.0,-4.8,0.0,-35.0,0.0,2.7,0.0,1.0,1154.9,0.0,2020,1,Ontario,Central
28810,-90.218,51.449,PICKLE LAKE (AUT),6016525,ON,-14.6,0.0,-3.6,0.0,-31.8,0.0,26.7,0.0,5.0,1009.2,0.0,2020,1,Ontario,Central
28814,-93.967,48.633,BARWICK,6020559,ON,-11.3,0.0,0.5,0.0,-36.5,0.0,34.4,0.0,7.0,907.9,0.0,2020,1,Ontario,Central
28815,-91.628,48.761,ATIKOKAN (AUT),6020LPQ,ON,-11.5,0.0,-1.6,0.0,-34.7,0.0,29.5,0.0,6.0,913.7,0.0,2020,1,Ontario,Central
28818,-92.744,49.828,DRYDEN REGIONAL,6032125,ON,-13.0,4.0,-3.5,4.0,-33.2,4.0,8.6,0.0,3.0,837.6,0.0,2020,1,Ontario,Central
28820,-94.363,49.788,KENORA A,6034076,ON,-12.5,1.0,-3.8,1.0,-29.9,1.0,18.7,0.0,6.0,916.0,0.0,2020,1,Ontario,Central
28821,-93.717,49.65,RAWSON LAKE,6036904,ON,-12.6,0.0,-3.5,0.0,-30.0,0.0,28.2,0.0,6.0,949.0,0.0,2020,1,Ontario,Central
28827,-88.345,49.154,CAMERON FALLS (AUT),6041110,ON,-10.5,0.0,-0.4,0.0,-25.9,0.0,36.4,0.0,6.0,883.3,0.0,2020,1,Ontario,Central
28834,-86.287,48.608,PUKASKWA (AUT),6046768,ON,-9.0,0.0,1.2,0.0,-31.1,0.0,47.9,0.0,7.0,835.8,0.0,2020,1,Ontario,Central
28838,-89.327,48.369,THUNDER BAY CS,6048268,ON,-8.9,0.0,1.1,0.0,-27.9,0.0,29.2,0.0,7.0,834.9,0.0,2020,1,Ontario,Central
28839,-90.467,49.033,UPSALA (AUT),6049095,ON,-11.9,0.0,-2.7,0.0,-34.2,0.0,36.1,0.0,8.0,925.5,0.0,2020,1,Ontario,Central
28841,-84.814,47.723,LAKE SUPERIOR PROVINCIAL PARK,6054425,ON,-9.3,0.0,0.7,0.0,-30.8,0.0,90.6,0.0,17.0,846.6,0.0,2020,1,Ontario,Central
28842,-84.51,46.485,SAULT STE MARIE A,6057591,ON,-4.9,0.0,2.7,0.0,-23.1,0.0,58.9,0.0,15.0,708.5,0.0,2020,1,Ontario,Central
28848,-80.303,46.215,MONETVILLE 2,6065252,ON,-7.2,2.0,5.0,2.0,-30.0,2.0,67.8,2.0,9.0,731.5,0.0,2020,1,Ontario,Central
28851,-82.124,49.383,BONNER LAKE,6070QK6,ON,-12.8,0.0,11.5,0.0,-33.0,0.0,42.4,0.0,9.0,954.5,0.0,2020,1,Ontario,Central
28852,-79.849,47.695,EARLTON A,6072223,ON,-10.2,7.0,3.3,7.0,-26.6,7.0,11.0,6.0,4.0,677.2,0.0,2020,1,Ontario,Central
28861,-84.164,49.747,NAGAGAMI (AUT),6075543,ON,-12.5,0.0,-0.2,0.0,-32.7,0.0,38.2,0.0,10.0,945.0,0.0,2020,1,Ontario,Central
28862,-85.901,51.659,OGOKI POST A,6075786,ON,-15.6,0.0,-1.1,0.0,-29.2,0.0,3.0,2.0,0.0,1041.6,0.0,2020,1,Ontario,Central
28863,-81.39,48.557,TIMMINS CLIMATE,6078282,ON,-11.4,0.0,1.0,0.0,-32.5,0.0,41.2,0.0,12.0,910.5,0.0,2020,1,Ontario,Central
28867,-79.403,46.375,NORTH BAY AIRPORT,6085695,ON,-8.3,0.0,3.7,0.0,-26.2,0.0,56.2,0.0,10.0,814.9,0.0,2020,1,Ontario,Central
28869,-82.567,45.883,GORE BAY CLIMATE,6092920,ON,-4.6,0.0,5.0,0.0,-23.0,0.0,38.7,0.0,10.0,700.7,0.0,2020,1,Ontario,Central
28871,-76.113,45.186,APPLETON,6100285,ON,-5.8,0.0,8.0,0.0,-21.5,0.0,89.8,0.0,9.0,738.6,0.0,2020,1,Ontario,Central
28872,-75.748,44.635,BROCKVILLE CLIMATE,6100970,ON,-5.4,0.0,11.9,0.0,-25.0,0.0,107.4,0.0,11.0,724.1,0.0,2020,1,Ontario,Central
28875,-74.749,45.016,CORNWALL,6101874,ON,-4.2,1.0,13.0,1.0,-20.0,1.0,94.0,1.0,13.0,665.5,0.0,2020,1,Ontario,Central
28878,-76.69,44.428,HARTINGTON IHD,6103367,ON,-4.2,0.0,9.5,0.0,-20.5,0.0,113.2,0.0,10.0,689.2,0.0,2020,1,Ontario,Central
28884,-76.784,45.054,OMPAH-SEITZ,6105762,ON,-6.5,3.0,6.5,3.0,-23.5,3.0,126.2,3.0,13.0,684.9,0.0,2020,1,Ontario,Central
28891,-77.25,45.883,PETAWAWA HOFFMAN,610FC98,ON,-6.8,0.0,5.0,0.0,-24.5,0.0,103.6,0.0,8.0,769.0,0.0,2020,1,Ontario,Central
28892,-79.319,44.267,BALDWIN,6110480,ON,-3.6,0.0,9.5,0.0,-22.0,0.0,97.0,0.0,8.0,670.0,0.0,2020,1,Ontario,Central
28894,-79.403,45.14,BEATRICE CLIMATE,6110607,ON,-6.9,0.0,6.3,0.0,-27.8,0.0,111.9,0.0,14.0,772.1,0.0,2020,1,Ontario,Central
28913,-81.717,43.767,GODERICH,6122847,ON,-1.2,1.0,10.9,1.0,-18.9,1.0,92.0,1.0,11.0,574.9,0.0,2020,1,Ontario,Central
28915,-82.309,42.999,SARNIA,6127510,ON,-0.2,0.0,11.8,0.0,-10.4,0.0,87.7,0.0,9.0,563.4,0.0,2020,1,Ontario,Central
28917,-81.633,45.233,TOBERMORY RCS,6128330,ON,-3.1,0.0,5.9,0.0,-18.7,0.0,74.1,0.0,14.0,654.3,0.0,2020,1,Ontario,Central
28919,-83.094,42.103,AMHERSTBURG,6130257,ON,0.4,0.0,12.0,0.0,-10.5,0.0,102.4,0.0,11.0,545.2,0.0,2020,1,Ontario,Central
28921,-80.55,42.867,DELHI CS,6131983,ON,-0.7,1.0,13.9,1.0,-17.5,1.0,114.5,1.0,10.0,561.3,0.0,2020,1,Ontario,Central
28923,-79.558,43.184,GRIMSBY MOUNTAIN,6133055,ON,-0.4,0.0,14.5,0.0,-12.0,0.0,112.4,0.0,10.0,571.5,0.0,2020,1,Ontario,Central
28926,-81.636,42.514,NEW GLASGOW,6135583,ON,0.0,4.0,12.0,4.0,-15.0,4.0,81.0,4.0,8.0,485.2,0.0,2020,1,Ontario,Central
28944,-80.379,43.702,FERGUS MOE,6142402,ON,-3.4,2.0,9.5,1.0,-16.0,1.0,156.7,1.0,13.0,619.4,0.0,2020,1,Ontario,Central
28948,-81.15,43.033,LONDON CS,6144478,ON,-1.3,1.0,11.7,1.0,-17.4,1.0,129.6,1.0,12.0,578.7,0.0,2020,1,Ontario,Central
28953,-77.395,44.151,BELLEVILLE,6150689,ON,-2.9,3.0,10.5,3.0,-19.0,3.0,91.7,3.0,9.0,585.1,0.0,2020,1,Ontario,Central
28975,-78.363,44.23,PETERBOROUGH A,6166415,ON,-4.3,0.0,12.0,0.0,-22.8,0.0,115.2,0.0,5.0,692.4,0.0,2020,1,Ontario,Central
28979,-77.879,45.071,BANCROFT AUTO,616I001,ON,-7.6,0.0,6.5,0.0,-27.6,0.0,127.1,0.0,10.0,793.6,0.0,2020,1,Ontario,Central
28980,-71.972,46.691,DESCHAMBAULT,7011983,QC,-8.9,0.0,2.7,0.0,-28.5,0.0,118.8,0.0,17.0,834.1,0.0,2020,1,Quebec,Central
28988,-72.683,46.367,TROIS-RIVIERES,7018563,QC,-8.9,0.0,2.9,0.0,-28.3,0.0,92.9,0.0,13.0,835.3,0.0,2020,1,Quebec,Central
28992,-71.382,46.804,QUEBEC/JEAN LESAGE INTL,701S001,QC,-8.8,0.0,2.4,0.0,-27.3,0.0,97.3,0.0,14.0,832.1,0.0,2020,1,Quebec,Central
28993,-72.85,45.033,FRELIGHSBURG,7022579,QC,-5.1,0.0,12.9,0.0,-21.6,0.0,114.8,1.0,17.0,715.4,0.0,2020,1,Quebec,Central
28996,-71.824,45.369,LENNOXVILLE,7024280,QC,-6.4,0.0,10.7,0.0,-26.5,0.0,93.1,0.0,13.0,755.0,0.0,2020,1,Quebec,Central
28998,-73.741,45.471,MONTREAL INTL A,7025251,QC,-5.8,0.0,6.5,0.0,-19.8,0.0,108.4,0.0,10.0,737.5,0.0,2020,1,Quebec,Central
29002,-72.537,45.825,SAINT-GERMAIN-DE-GRANTHAM,7027470,QC,-7.8,0.0,8.3,0.0,-29.3,0.0,100.5,0.0,13.0,800.2,0.0,2020,1,Quebec,Central
29004,-71.266,46.049,THETFORD MINES RCS,7028442,QC,-8.8,0.0,8.2,0.0,-25.5,0.0,98.2,0.0,17.0,830.6,0.0,2020,1,Quebec,Central
29013,-75.992,46.275,MANIWAKI AIRPORT,7034482,QC,-7.9,3.0,3.9,3.0,-26.3,3.0,87.2,1.0,10.0,726.3,0.0,2020,1,Quebec,Central
29016,-68.2,49.133,BAIE-COMEAU A,7040442,QC,-11.2,0.0,0.8,0.0,-26.9,0.0,32.4,0.0,8.0,904.8,0.0,2020,1,Quebec,Central
29024,-71.148,47.323,FORET MONTMORENCY RCS,7042395,QC,-12.4,0.0,1.9,0.0,-29.4,0.0,88.6,0.0,15.0,940.9,0.0,2020,1,Quebec,Central
29026,-63.611,50.282,HAVRE ST. PIERRE,7043019,QC,-13.3,0.0,-1.6,0.0,-26.0,0.0,11.7,0.0,4.0,969.7,0.0,2020,1,Quebec,Central
29031,-61.789,50.19,NATASHQUAN A,7045398,QC,-13.3,0.0,-0.7,0.0,-31.2,0.0,0.0,1.0,0.0,971.0,0.0,2020,1,Quebec,Central
29035,-66.25,50.217,SEPT-ILES,7047914,QC,-13.6,0.0,-0.4,0.0,-30.2,0.0,39.2,0.0,7.0,980.4,0.0,2020,1,Quebec,Central
29039,-65.325,49.251,CAP-MADELEINE,7051163,QC,-8.0,0.0,2.8,0.0,-20.3,0.0,31.6,0.0,5.0,805.3,0.0,2020,1,Quebec,Central
29040,-67.253,48.309,CAUSAPSCAL AIRPORT,7051201,QC,-12.6,0.0,1.4,0.0,-31.7,0.0,63.8,0.0,9.0,948.9,0.0,2020,1,Quebec,Central
29041,-64.48,48.775,GASPE A,7052601,QC,-10.2,1.0,0.5,1.0,-24.2,1.0,49.8,0.0,11.0,844.9,0.0,2020,1,Quebec,Central
29047,-70.032,47.356,LA POCATIERE,7054096,QC,-8.6,0.0,3.4,0.0,-24.5,0.0,63.1,0.0,9.0,823.1,0.0,2020,1,Quebec,Central
29048,-68.208,48.609,MONT JOLI A,7055121,QC,-9.1,2.0,2.4,2.0,-21.9,2.0,41.3,1.0,9.0,786.8,0.0,2020,1,Quebec,Central
29050,-65.332,48.012,NEW CARLISLE 1,7055422,QC,-8.3,0.0,0.9,0.0,-20.6,0.0,52.7,0.0,10.0,814.3,0.0,2020,1,Quebec,Central
29051,-65.842,48.156,NEW RICHMOND EAST,7055440,QC,-9.9,0.0,1.5,0.0,-27.3,0.0,49.8,0.0,9.0,863.5,0.0,2020,1,Quebec,Central
